Name,Pos,Fg%,Fg3%,Fg2%,Ft%,Orb,Drb,Ast,Blk,Stl,Pts
,PG,.487,.382,.573,.786,59,588,686,38,99,2370
,PG,.535,.353,.576,.874,65,350,465,67,150,2254
,PF,.611,.274,.645,.657,196,645,476,79,87,2222
,PG,.479,.401,.516,.847,43,235,519,13,70,2212
,C,.583,.359,.626,.817,223,753,708,68,108,2085
,SG,.461,.357,.515,.836,52,378,405,42,101,2049
,PF,.523,.413,.567,.856,41,454,378,91,69,2032
,PF,.471,.376,.542,.833,67,534,364,43,75,1987
,PG,.465,.369,.522,.738,67,273,418,31,150,1966
,PG,.450,.408,.515,.923,37,293,379,28,54,1956
,SF,.480,.333,.509,.853,43,297,421,45,90,1897
,C,.556,.271,.582,.816,239,722,266,178,91,1876
,PG,.492,.364,.552,.886,56,252,472,28,61,1841
,PF,.540,.410,.592,.750,61,457,589,38,89,1822
,PG,.450,.373,.501,.868,36,222,433,33,69,1816
,PF,.455,.339,.493,.725,82,472,431,47,71,1804
,PG,.424,.354,.490,.920,36,284,508,18,72,1775
,SG,.459,.363,.518,.794,62,354,502,24,111,1753
,PF,.536,.346,.581,.732,139,426,342,25,63,1737
,PF,.522,.317,.584,.758,54,192,190,10,32,865
,PF,.549,.386,.580,.699,85,234,152,15,31,872
,PF,.471,.413,.523,.907,37,351,262,37,113,1671
,SF,.525,.417,.569,.885,84,332,244,59,111,1613
,SF,.499,.354,.570,.703,84,303,249,37,83,1610
,SG,.423,.332,.498,.804,41,382,291,28,66,1610
,SF,.436,.372,.490,.814,68,304,299,30,81,1606
,PF,.570,.333,.574,.702,122,284,352,47,77,1601
,C,.594,.379,.613,.704,294,826,673,48,74,1593
,PF,.463,.336,.530,.775,62,402,296,49,37,1553
,C,.465,.325,.534,.796,161,594,274,254,88,1522
,PG,.447,.376,.508,.838,44,314,405,18,53,1509
,SG,.497,.411,.548,.905,44,246,299,28,74,1487
,C,.444,.320,.501,.808,85,280,154,106,80,1486
,SG,.442,.364,.481,.856,28,186,192,16,45,1482
,SG,.462,.368,.539,.865,46,234,333,30,101,1463
,SG,.487,.394,.530,.859,71,134,383,18,62,1458
,SF,.462,.349,.529,.825,71,434,231,33,65,1449
,SF,.482,.281,.570,.850,72,309,269,28,76,1421
,PG,.449,.355,.487,.869,33,235,464,22,56,1405
,PG,.477,.364,.595,.855,35,236,752,48,83,1389
,PG,.430,.373,.479,.855,23,126,583,11,72,1389
,SF,.432,.387,.503,.927,35,219,176,35,50,1375
,C,.484,.294,.550,.822,210,591,254,60,50,1370
,PG,.456,.415,.497,.828,28,208,482,36,69,1369
,C,.521,.357,.528,.755,159,578,278,66,81,1367
,C,.530,.370,.623,.793,129,519,200,190,53,1357
,SG,.413,.326,.492,.877,32,180,343,25,86,1356
,SF,.484,.397,.575,.836,106,459,122,53,42,1356
,PF,.540,.427,.576,.814,37,245,322,45,80,1355
,C,.529,.388,.556,.883,95,335,219,66,46,1353
,PF,.504,.416,.550,.873,94,421,189,41,43,1349
,SG,.428,.374,.503,.921,53,219,247,26,96,1333
,SF,.492,.355,.534,.801,43,281,363,40,50,1332
,C,.537,.297,.567,.693,183,406,312,46,76,1331
,SG,.472,.372,.544,.801,27,234,277,23,73,1323
,PG,.459,.429,.492,.827,39,247,305,41,62,1322
,C,.524,.358,.615,.773,113,420,100,144,39,1313
,SG,.486,.367,.583,.853,57,295,450,25,66,1300
,SF,.440,.373,.495,.827,60,255,175,42,66,1279
,PF,.480,.399,.559,.899,122,327,110,26,50,1278
,C,.634,.000,.638,.742,243,568,210,81,53,1271
,PG,.416,.387,.454,.860,33,245,589,59,101,1270
,SG,.443,.401,.542,.754,63,234,216,36,107,1259
,PG,.481,.425,.510,.853,42,200,384,39,57,1250
,PF,.499,.414,.519,.858,105,213,298,17,79,1246
,SG,.443,.363,.498,.869,35,212,342,21,63,1205
,SG,.459,.358,.533,.845,17,100,198,12,32,696
,PG,.423,.371,.458,.913,18,112,144,9,31,509
,PF,.487,.353,.537,.878,80,373,217,46,70,1204
,PG,.428,.381,.497,.878,34,335,614,57,77,1192
,SG,.475,.341,.536,.781,141,353,363,88,75,1191
,PF,.529,.321,.578,.746,92,263,163,36,55,1188
,SG,.429,.336,.485,.749,86,178,296,41,57,1185
,SF,.454,.358,.560,.831,106,314,129,59,79,1172
,SG,.495,.360,.549,.715,53,262,193,22,31,1170
,SG,.423,.331,.469,.831,19,92,63,9,12,474
,SG,.553,.392,.605,.629,34,170,130,13,19,696
,SG,.434,.395,.471,.853,17,242,331,10,50,1156
,SG,.454,.395,.509,.872,5,72,74,3,16,450
,PG,.422,.395,.448,.841,12,170,257,7,34,706
,C,.516,.375,.606,.858,97,312,115,111,42,1145
,SF,.402,.353,.478,.852,22,232,139,6,42,1139
